City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Vostok,RU,46.4856,135.8833,60.76,90,95,2.44,overcast clouds
134,Victoria,HK,22.2855,114.1577,86.38,82,68,5.99,broken clouds
135,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,63,40,2.73,scattered clouds
136,Evensk,RU,61.95,159.2333,61.86,44,41,0.78,scattered clouds
137,Totness,SR,5.8833,-56.3167,79.36,83,9,9.73,clear sky
138,Kavieng,PG,-2.5744,150.7967,82.26,77,29,10.18,light rain
139,Chokwe,MZ,-24.5333,32.9833,63.7,89,1,4.14,clear sky
140,Okhotsk,RU,59.3833,143.3,61.59,80,97,2.82,overcast clouds
141,Muravlenko,RU,63.7898,74.523,47.98,80,95,10.89,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,75.42,80,85,4.09,overcast clouds
143,Black River,JM,18.0264,-77.8487,87.62,64,37,13.24,scattered clouds
144,Leh,IN,34.1667,77.5833,68.92,22,98,5.68,overcast clouds
145,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,9.22,scattered clouds
146,Vila Velha,BR,-20.3297,-40.2925,75.15,86,20,8.05,few clouds
147,Shaunavon,CA,49.6501,-108.4181,76.78,37,83,17.22,broken clouds
148,Colares,PT,38.7992,-9.4469,71.28,73,20,23.02,few clouds
149,Lodja,CD,-3.4833,23.4333,77.52,52,100,2.53,overcast clouds
150,Chumikan,RU,54.7183,135.315,57.0,86,31,1.57,scattered clouds
151,Lithgow,AU,-33.4833,150.15,43.97,95,78,5.75,broken clouds
152,Severo-Kurilsk,RU,50.6789,156.125,55.08,94,31,6.29,scattered clouds
153,Bengkulu,ID,-3.8004,102.2655,75.04,87,84,4.27,broken clouds
154,Disraeli,CA,45.9001,-71.3491,81.21,53,0,1.99,clear sky
155,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,78,16,16.11,few clouds
156,Capuluan,PH,13.8147,122.5181,78.33,92,42,1.68,scattered clouds
157,Norman Wells,CA,65.282,-126.8329,78.84,31,75,8.05,broken clouds
158,Hovd,MN,48.0056,91.6419,60.31,54,43,8.28,scattered clouds
159,Port Moresby,PG,-9.4431,147.1797,76.42,94,100,11.5,haze
160,Marienburg,PL,54.0359,19.0266,67.87,96,1,4.21,clear sky
161,Chamalieres,FR,45.7756,3.0631,79.52,57,75,9.22,broken clouds
162,Chifeng,CN,42.2683,118.9636,68.49,82,100,1.86,overcast clouds
163,Ostersund,SE,63.1792,14.6357,52.61,87,100,8.05,overcast clouds
164,Andros Town,BS,24.7,-77.7667,87.76,72,19,15.03,few clouds
165,Chokurdakh,RU,70.6333,147.9167,49.96,53,99,13.29,overcast clouds
166,East London,ZA,-33.0153,27.9116,67.84,43,11,8.66,few clouds
167,Nome,US,64.5011,-165.4064,47.16,87,100,5.75,light rain
168,Chara,RU,56.9064,118.2631,70.93,71,99,0.38,overcast clouds
169,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,46,14.54,light rain
170,Saint George,US,37.1041,-113.5841,111.63,12,0,10.36,clear sky
171,Rizhao,CN,35.4275,119.4553,75.06,97,100,12.53,moderate rain
172,Honningsvag,NO,70.9821,25.9704,51.55,82,75,14.97,light intensity drizzle
173,Ilulissat,GL,69.2167,-51.1,42.15,96,100,3.71,light rain
174,Kabare,CD,-2.4683,28.8242,63.73,65,45,0.85,scattered clouds
175,Zile,TR,40.3031,35.8864,57.31,90,0,2.37,clear sky
176,Nago,JP,26.5881,127.9761,84.63,84,86,9.86,overcast clouds
177,Bonavista,CA,48.6499,-53.1147,64.94,72,45,15.86,scattered clouds
178,Leningradskiy,RU,69.3833,178.4167,37.22,85,90,8.57,overcast clouds
